AnoMesDia,Instancia,DataSource,QtdConexoesCriadasDia
20241209,srvpje1gcons01,PjeDS,8550
20241209,srvpje1gcons01,PjeLogDS,164
20241209,srvpje1gcons02,PjeDS,7845
20241209,srvpje1gcons02,PjeLogDS,134
20241209,srvpje1gcons03,PjeDS,6811
20241209,srvpje1gcons03,PjeLogDS,167
20241209,srvpje1gcons04,PjeDS,7858
20241209,srvpje1gcons04,PjeLogDS,142
20241209,srvpje1gcons05,PjeDS,8345
20241209,srvpje1gcons05,PjeLogDS,161
20241209,srvpje1gcons06,PjeDS,8806
20241209,srvpje1gcons06,PjeLogDS,141
20241209,srvpje1gcons07,PjeDS,6131
20241209,srvpje1gcons07,PjeLogDS,160
20241209,srvpje1gcons08,PjeDS,6619
20241209,srvpje1gcons08,PjeLogDS,167
20241209,srvpje1gmigra01,ILS,0
20241209,srvpje1gmigra01,ITZ,0
20241209,srvpje1gmigra01,JFAC,0
20241209,srvpje1gmigra01,JFAM,0
20241209,srvpje1gmigra01,JFAP2,0
20241209,srvpje1gmigra01,JFAP,0
20241209,srvpje1gmigra01,JFBA,0
20241209,srvpje1gmigra01,JFDF,0
20241209,srvpje1gmigra01,JFGO,0
20241209,srvpje1gmigra01,JFMA,0
20241209,srvpje1gmigra01,JFMG,0
20241209,srvpje1gmigra01,JFMT,0
20241209,srvpje1gmigra01,JFO,0
20241209,srvpje1gmigra01,JFPA,0
20241209,srvpje1gmigra01,JFPI,0
20241209,srvpje1gmigra01,JFRO,0
20241209,srvpje1gmigra01,JFRR,0
20241209,srvpje1gmigra01,JFTO,0
20241209,srvpje1gmigra01,MBA,0
20241209,srvpje1gmigra01,PSS,0
20241209,srvpje1gmigra01,PjeDS,294
20241209,srvpje1gmigra01,PjeDspace,0
20241209,srvpje1gmigra01,PjeLogDS,1
20241209,srvpje1gmigra01,STM,0
20241209,srvpje1gmigra01,TBT,0
20241209,srvpje1gmigra01,TRF1,0
20241209,srvpje1gmigra01,UBE,0
20241209,srvpje1gmigra01,UDI,0
20241209,srvpje1gmni01,ILS,0
20241209,srvpje1gmni01,ITZ,0
20241209,srvpje1gmni01,JFAC,0
20241209,srvpje1gmni01,JFAM,0
20241209,srvpje1gmni01,JFAP2,0
20241209,srvpje1gmni01,JFAP,0
20241209,srvpje1gmni01,JFBA,0
20241209,srvpje1gmni01,JFDF,0
20241209,srvpje1gmni01,JFGO,0
20241209,srvpje1gmni01,JFMA,0
20241209,srvpje1gmni01,JFMG,0
20241209,srvpje1gmni01,JFMT,0
20241209,srvpje1gmni01,JFO,0
20241209,srvpje1gmni01,JFPA,0
20241209,srvpje1gmni01,JFPI,0
20241209,srvpje1gmni01,JFRO,0
20241209,srvpje1gmni01,JFRR,0
20241209,srvpje1gmni01,JFTO,0
20241209,srvpje1gmni01,MBA,0
20241209,srvpje1gmni01,PSS,0
20241209,srvpje1gmni01,PjeDS,2090
20241209,srvpje1gmni01,PjeLogDS,58
20241209,srvpje1gmni01,STM,0
20241209,srvpje1gmni01,TBT,0
20241209,srvpje1gmni01,TRF1,0
20241209,srvpje1gmni01,UBE,0
20241209,srvpje1gmni01,UDI,0
20241209,srvpje1gmni02,ILS,0
20241209,srvpje1gmni02,ITZ,0
20241209,srvpje1gmni02,JFAC,0
20241209,srvpje1gmni02,JFAM,0
20241209,srvpje1gmni02,JFAP2,0
20241209,srvpje1gmni02,JFAP,0
20241209,srvpje1gmni02,JFBA,0
20241209,srvpje1gmni02,JFDF,0
20241209,srvpje1gmni02,JFGO,0
20241209,srvpje1gmni02,JFMA,0
20241209,srvpje1gmni02,JFMG,0
20241209,srvpje1gmni02,JFMT,0
20241209,srvpje1gmni02,JFO,0
20241209,srvpje1gmni02,JFPA,0
20241209,srvpje1gmni02,JFPI,0
20241209,srvpje1gmni02,JFRO,0
20241209,srvpje1gmni02,JFRR,0
20241209,srvpje1gmni02,JFTO,0
20241209,srvpje1gmni02,MBA,0
20241209,srvpje1gmni02,PSS,0
20241209,srvpje1gmni02,PjeDS,1955
20241209,srvpje1gmni02,PjeLogDS,74
20241209,srvpje1gmni02,STM,0
20241209,srvpje1gmni02,TBT,0
20241209,srvpje1gmni02,TRF1,0
20241209,srvpje1gmni02,UBE,0
20241209,srvpje1gmni02,UDI,0
20241209,srvpje1gmni03,ILS,0
20241209,srvpje1gmni03,ITZ,0
20241209,srvpje1gmni03,JFAC,0
20241209,srvpje1gmni03,JFAM,0
20241209,srvpje1gmni03,JFAP2,0
20241209,srvpje1gmni03,JFAP,0
20241209,srvpje1gmni03,JFBA,0
20241209,srvpje1gmni03,JFDF,0
20241209,srvpje1gmni03,JFGO,0
20241209,srvpje1gmni03,JFMA,0
20241209,srvpje1gmni03,JFMG,0
20241209,srvpje1gmni03,JFMT,0
20241209,srvpje1gmni03,JFO,0
20241209,srvpje1gmni03,JFPA,0
20241209,srvpje1gmni03,JFPI,0
20241209,srvpje1gmni03,JFRO,0
20241209,srvpje1gmni03,JFRR,0
20241209,srvpje1gmni03,JFTO,0
20241209,srvpje1gmni03,MBA,0
20241209,srvpje1gmni03,PSS,0
20241209,srvpje1gmni03,PjeDS,2101
20241209,srvpje1gmni03,PjeLogDS,64
20241209,srvpje1gmni03,STM,0
20241209,srvpje1gmni03,TBT,0
20241209,srvpje1gmni03,TRF1,0
20241209,srvpje1gmni03,UBE,0
20241209,srvpje1gmni03,UDI,0
20241209,srvpje1gmni04,ILS,0
20241209,srvpje1gmni04,ITZ,0
20241209,srvpje1gmni04,JFAC,0
20241209,srvpje1gmni04,JFAM,0
20241209,srvpje1gmni04,JFAP2,0
20241209,srvpje1gmni04,JFAP,0
20241209,srvpje1gmni04,JFBA,0
20241209,srvpje1gmni04,JFDF,0
20241209,srvpje1gmni04,JFGO,0
20241209,srvpje1gmni04,JFMA,0
20241209,srvpje1gmni04,JFMG,0
20241209,srvpje1gmni04,JFMT,0
20241209,srvpje1gmni04,JFO,0
20241209,srvpje1gmni04,JFPA,0
20241209,srvpje1gmni04,JFPI,0
20241209,srvpje1gmni04,JFRO,0
20241209,srvpje1gmni04,JFRR,0
20241209,srvpje1gmni04,JFTO,0
20241209,srvpje1gmni04,MBA,0
20241209,srvpje1gmni04,PSS,0
20241209,srvpje1gmni04,PjeDS,2210
20241209,srvpje1gmni04,PjeLogDS,68
20241209,srvpje1gmni04,STM,0
20241209,srvpje1gmni04,TBT,0
20241209,srvpje1gmni04,TRF1,0
20241209,srvpje1gmni04,UBE,0
20241209,srvpje1gmni04,UDI,0
20241209,srvpje1goutjb01,ILS,0
20241209,srvpje1goutjb01,ITZ,0
20241209,srvpje1goutjb01,JFAC,0
20241209,srvpje1goutjb01,JFAM,0
20241209,srvpje1goutjb01,JFAP2,0
20241209,srvpje1goutjb01,JFAP,0
20241209,srvpje1goutjb01,JFBA,0
20241209,srvpje1goutjb01,JFDF,0
20241209,srvpje1goutjb01,JFGO,0
20241209,srvpje1goutjb01,JFMA,0
20241209,srvpje1goutjb01,JFMG,0
20241209,srvpje1goutjb01,JFMT,0
20241209,srvpje1goutjb01,JFO,0
20241209,srvpje1goutjb01,JFPA,0
20241209,srvpje1goutjb01,JFPI,0
20241209,srvpje1goutjb01,JFRO,0
20241209,srvpje1goutjb01,JFRR,0
20241209,srvpje1goutjb01,JFTO,0
20241209,srvpje1goutjb01,MBA,0
20241209,srvpje1goutjb01,PSS,0
20241209,srvpje1goutjb01,PjeDS,6257
20241209,srvpje1goutjb01,PjeDspace,0
20241209,srvpje1goutjb01,PjeLogDS,75
20241209,srvpje1goutjb01,STM,0
20241209,srvpje1goutjb01,TBT,0
20241209,srvpje1goutjb01,TRF1,0
20241209,srvpje1goutjb01,UBE,0
20241209,srvpje1goutjb01,UDI,0
20241209,srvpje1goutjb02,ILS,0
20241209,srvpje1goutjb02,ITZ,0
20241209,srvpje1goutjb02,JFAC,0
20241209,srvpje1goutjb02,JFAM,0
20241209,srvpje1goutjb02,JFAP2,0
20241209,srvpje1goutjb02,JFAP,0
20241209,srvpje1goutjb02,JFBA,0
20241209,srvpje1goutjb02,JFDF,0
20241209,srvpje1goutjb02,JFGO,0
20241209,srvpje1goutjb02,JFMA,0
20241209,srvpje1goutjb02,JFMG,0
20241209,srvpje1goutjb02,JFMT,0
20241209,srvpje1goutjb02,JFO,0
20241209,srvpje1goutjb02,JFPA,0
20241209,srvpje1goutjb02,JFPI,0
20241209,srvpje1goutjb02,JFRO,0
20241209,srvpje1goutjb02,JFRR,0
20241209,srvpje1goutjb02,JFTO,0
20241209,srvpje1goutjb02,MBA,0
20241209,srvpje1goutjb02,PSS,0
20241209,srvpje1goutjb02,PjeDS,6360
20241209,srvpje1goutjb02,PjeDspace,0
20241209,srvpje1goutjb02,PjeLogDS,76
20241209,srvpje1goutjb02,STM,0
20241209,srvpje1goutjb02,TBT,0
20241209,srvpje1goutjb02,TRF1,0
20241209,srvpje1goutjb02,UBE,0
20241209,srvpje1goutjb02,UDI,0
20241209,srvpje1goutjb03,ILS,0
20241209,srvpje1goutjb03,ITZ,0
20241209,srvpje1goutjb03,JFAC,0
20241209,srvpje1goutjb03,JFAM,0
20241209,srvpje1goutjb03,JFAP2,0
20241209,srvpje1goutjb03,JFAP,0
20241209,srvpje1goutjb03,JFBA,0
20241209,srvpje1goutjb03,JFDF,0
20241209,srvpje1goutjb03,JFGO,0
20241209,srvpje1goutjb03,JFMA,0
20241209,srvpje1goutjb03,JFMG,0
20241209,srvpje1goutjb03,JFMT,0
20241209,srvpje1goutjb03,JFO,0
20241209,srvpje1goutjb03,JFPA,0
20241209,srvpje1goutjb03,JFPI,0
20241209,srvpje1goutjb03,JFRO,0
20241209,srvpje1goutjb03,JFRR,0
20241209,srvpje1goutjb03,JFTO,0
20241209,srvpje1goutjb03,MBA,0
20241209,srvpje1goutjb03,PSS,0
20241209,srvpje1goutjb03,PjeDS,6397
20241209,srvpje1goutjb03,PjeDspace,0
20241209,srvpje1goutjb03,PjeLogDS,77
20241209,srvpje1goutjb03,STM,0
20241209,srvpje1goutjb03,TBT,0
20241209,srvpje1goutjb03,TRF1,0
20241209,srvpje1goutjb03,UBE,0
20241209,srvpje1goutjb03,UDI,0
20241209,srvpje1goutjb04,ILS,0
20241209,srvpje1goutjb04,ITZ,0
20241209,srvpje1goutjb04,JFAC,0
20241209,srvpje1goutjb04,JFAM,0
20241209,srvpje1goutjb04,JFAP2,0
20241209,srvpje1goutjb04,JFAP,0
20241209,srvpje1goutjb04,JFBA,0
20241209,srvpje1goutjb04,JFDF,0
20241209,srvpje1goutjb04,JFGO,0
20241209,srvpje1goutjb04,JFMA,0
20241209,srvpje1goutjb04,JFMG,0
20241209,srvpje1goutjb04,JFMT,0
20241209,srvpje1goutjb04,JFO,0
20241209,srvpje1goutjb04,JFPA,0
20241209,srvpje1goutjb04,JFPI,0
20241209,srvpje1goutjb04,JFRO,0
20241209,srvpje1goutjb04,JFRR,0
20241209,srvpje1goutjb04,JFTO,0
20241209,srvpje1goutjb04,MBA,0
20241209,srvpje1goutjb04,PSS,0
20241209,srvpje1goutjb04,PjeDS,6306
20241209,srvpje1goutjb04,PjeDspace,0
20241209,srvpje1goutjb04,PjeLogDS,95
20241209,srvpje1goutjb04,STM,0
20241209,srvpje1goutjb04,TBT,0
20241209,srvpje1goutjb04,TRF1,0
20241209,srvpje1goutjb04,UBE,0
20241209,srvpje1goutjb04,UDI,0
20241209,srvpje1goutjb05,ILS,0
20241209,srvpje1goutjb05,ITZ,0
20241209,srvpje1goutjb05,JFAC,0
20241209,srvpje1goutjb05,JFAM,0
20241209,srvpje1goutjb05,JFAP2,0
20241209,srvpje1goutjb05,JFAP,0
20241209,srvpje1goutjb05,JFBA,0
20241209,srvpje1goutjb05,JFDF,0
20241209,srvpje1goutjb05,JFGO,0
20241209,srvpje1goutjb05,JFMA,0
20241209,srvpje1goutjb05,JFMG,0
20241209,srvpje1goutjb05,JFMT,0
20241209,srvpje1goutjb05,JFO,0
20241209,srvpje1goutjb05,JFPA,0
20241209,srvpje1goutjb05,JFPI,0
20241209,srvpje1goutjb05,JFRO,0
20241209,srvpje1goutjb05,JFRR,0
20241209,srvpje1goutjb05,JFTO,0
20241209,srvpje1goutjb05,MBA,0
20241209,srvpje1goutjb05,PSS,0
20241209,srvpje1goutjb05,PjeDS,6538
20241209,srvpje1goutjb05,PjeDspace,0
20241209,srvpje1goutjb05,PjeLogDS,71
20241209,srvpje1goutjb05,STM,0
20241209,srvpje1goutjb05,TBT,0
20241209,srvpje1goutjb05,TRF1,0
20241209,srvpje1goutjb05,UBE,0
20241209,srvpje1goutjb05,UDI,0
20241209,srvpje1goutjb06,ILS,0
20241209,srvpje1goutjb06,ITZ,0
20241209,srvpje1goutjb06,JFAC,0
20241209,srvpje1goutjb06,JFAM,0
20241209,srvpje1goutjb06,JFAP2,0
